,name,rating,id,sentiment,director,scriptwriter,starring,genre,date,total_people,running_time
1670,侠探杰克：永不回头,5.9,25789402,0.9999999998628997,['爱德华·兹威克'],"['马歇尔·赫斯科维兹', '理查德·温克', '爱德华·兹威克', '李查德']","['汤姆·克鲁斯', '寇碧·史莫德斯', '罗伯特·克耐普', '达妮卡·亚罗什', '阿尔迪斯·霍吉']",动作,2016-10-21(中国大陆/美国),3930,118
1671,机械师2：复活,5.6,25825412,0.9999960159743827,['丹尼斯·甘塞尔'],"['菲利普·谢尔比', '托尼·莫舍']","['杰森·斯坦森', '杰西卡·阿尔芭', '汤米·李·琼斯', '杨紫琼', '山姆·哈兹尔丁']",动作,2016-10-21(中国大陆),3930,98
1672,但丁密码,6.2,24860318,1.0,['朗·霍华德'],"['大卫·凯普', '丹·布朗']","['汤姆·汉克斯', '菲丽希缇·琼斯', '本·福斯特', '奥玛·希', '伊尔凡·可汗']",悬疑,2016-10-28(中国大陆/美国),2768,122
1673,小明和他的小伙伴们,4.1,26869052,0.8730388414762064,['王鑫'],['王鑫'],"['乔杉', '许君聪', '费伟妮', '卢野', '骆佳']",喜剧,2016-10-28(中国大陆),2768,96
1674,枕边有张脸2,3.3,26880771,0.9980307395183494,['赵小溪'],['朱依文'],"['赵慧仙', '田家大', '胡睿', '陈野', '薛闻君']",悬疑,2016-10-28(中国大陆),392,90
1675,驴得水,8.3,25921812,0.9999999999999991,"['周申', '刘露']","['周申', '刘露']","['任素汐', '大力', '刘帅良', '裴魁山', '阿如那']",剧情,2016-10-28(中国大陆),392,111
1676,脑残粉,6.6,25824009,1.0,['玛尼什·莎玛'],['哈比卜·费萨尔'],"['沙鲁克·汗', '瓦妮·卡普尔', '保罗·布莱克维尔', '玛瑞沃拉·嘉沃斯卡', '李·尼古拉斯·哈里斯']",剧情,2016-11-02(中国大陆),27094,142
1677,我的圣途,7.1,26776126,1.0,['张蠡'],['张蠡'],"['诺布钍呷', '陶多多', '穆怀虎', '曲木古火·秋风', '马嘿·阿依诗莎 ']",剧情,2016-11-03(中国大陆),27094,120
1678,奇异博士,7.6,3025375,1.0,['斯科特·德瑞克森'],"['史蒂夫·迪特寇', '托马斯·迪恩·唐纳利', '斯坦·李', '乔·斯派茨', '约书亚·奥本海默']","['本尼迪克特·康伯巴奇', '蒂尔达·斯文顿', '麦斯·米科尔森', '切瓦特·埃加福特', '瑞秋·麦克亚当斯']",动作,2016-11-04(中国大陆/美国),110030,115
1679,笑林足球,2.7,26547005,0.9831154685628337,['林子聪'],['林子聪'],"['信', '周奇奇', '张继聪', '郝劭文', '孙明明']",喜剧,2016-11-04(中国大陆),110030,93
1680,被劫持的爱情,5.0,26696441,0.0004724809012877085,['吴天戈'],"['崔辰', '周寻']","['陈姝', '金为珩', '曾晨', '周大勇', '周国宾']",喜剧,2016-11-04(中国大陆),45,94
1681,恐怖笔记,2.6,25953613,0.6933592511554073,['闵晋涛'],['李淡淡'],"['赵泳鑫', '檀健次', '冯家妹', '潘春春']",悬疑,2016-11-04(中国大陆),45,85
1682,蜡笔小新：梦境世界大突击,7.3,26660834,1.0,['高桥涉'],"['剧团一人', '高桥涉']","['矢岛晶子', '楢桥美纪', '藤原启治', '兴梠里美', '真柴摩利']",喜剧,2016-11-04(中国大陆),4692,97
1683,减法人生,4.2,26629328,0.01885295876653359,"['黄燕', '马林']",['黄燕'],"['魏大勋', '徐璐', '毛川', '齐溪', '叶大鹰']",剧情,2016-11-09(中国大陆),4692,95
1684,夺路而逃,3.1,26125842,0.9999999906666767,['吴林'],['巴莉芬'],"['张一山', '何伟', '李菁', '朴河宣']",喜剧,2016-11-10(中国大陆),11169,102
1685,外公芳龄38,4.2,26415200,0.9991839907444776,['安兵基'],"['崔斯坦', '姜炯哲']","['佟大为', '陈妍希', '吕云骢', '刘芮麟', '温心']",剧情,2016-11-11(中国大陆),11169,103
1686,聊斋新编之画皮新娘,2.9,26770773,0.9999599490110742,['摩撒利'],"['王文通', '张箫鹤', '深耀', '尚亚丽']","['丁汇宇', '殷果儿', '徐千京', '刘小奇', '叶豪']",惊悚,2016-11-11(中国大陆),1347,90
1687,勇士之门,3.5,25845294,0.9999999999546691,['马蒂亚斯·霍恩'],"['吕克·贝松', '罗伯特·马克·卡门']","['赵又廷', '倪妮', '尤赖亚·谢尔顿', '吴镇宇', '戴夫·巴蒂斯塔']",奇幻,2016-11-18(中国大陆),1347,108
1688,白云桥,2.9,26438800,0.9999987164795568,['钟萱'],['钟萱'],"['钟萱', '温兆伦', '刘宇珽', '夏望', '李卓霖']",悬疑,2016-11-18(中国大陆),859,94
1689,辣警霸王花,4.0,26235351,0.8644521965700327,['钱国伟'],"['凌浩然', '廖文坚', '张红叶', '谭鸿', '姚天朗', '江皓昕']","['岑丽香', '郑欣宜', '何佩瑜', '邓丽欣', '杨思琦']",喜剧,2016-11-18(中国大陆),859,102
1690,神奇动物在哪里,7.8,25726614,1.0,['大卫·叶茨'],['J·K·罗琳'],"['埃迪·雷德梅恩', '凯瑟琳·沃特斯顿', '丹·福勒', '艾莉森·萨多尔', '科林·法瑞尔']",剧情,2016-11-25(中国大陆),111,133
1691,冲天火,3.6,26365631,0.9999874020543366,['林岭东'],['林岭东'],"['吴彦祖', '张若昀', '张静初', '郭采洁', '张孝全']",动作,2016-11-25(中国大陆),111,100
1692,名侦探柯南：纯黑的恶梦,6.2,26596486,0.9999999999999898,['静野孔文'],"['樱井武晴', '青山刚昌']","['高山南', '山崎和佳奈', '小山力也', '山口胜平', '林原惠美']",动画,2016-11-25(中国大陆),7249,112
